ra,ano_base,fase,turma,score,target,dataset_split,pair_label,genero,instituicao,ano_ingresso,tempo_casa,ano_nasc,idade,defasagem_t,defasagem_t_is0,defasagem_t_bin_1,defasagem_t_bin_2plus,matem,portug,ingles,fez_ingles,media_provas,disp_provas,ieg,iaa,ips,fase_raw,turma_mean_media_provas,turma_std_media_provas,turma__p25_media_provas,turma__p75_media_provas,turma_mean_matem,turma_std_matem,turma__p25_matem,turma__p75_matem,turma_mean_portug,turma_std_portug,turma__p25_portug,turma__p75_portug,turma_mean_ieg,turma_std_ieg,turma__p25_ieg,turma__p75_ieg,turma_mean_ips,turma_std_ips,turma__p25_ips,turma__p75_ips,turma_mean_iaa,turma_std_iaa,turma__p25_iaa,turma__p75_iaa,fase_mean_media_provas,fase_std_media_provas,fase__p25_media_provas,fase__p75_media_provas,fase_mean_matem,fase_std_matem,fase__p25_matem,fase__p75_matem,fase_mean_portug,fase_std_portug,fase__p25_portug,fase__p75_portug,fase_mean_ieg,fase_std_ieg,fase__p25_ieg,fase__p75_ieg,fase_mean_ips,fase_std_ips,fase__p25_ips,fase__p75_ips,fase_mean_iaa,fase_std_iaa,fase__p25_iaa,fase__p75_iaa,global_mean_media_provas,global_std_media_provas,global__p25_media_provas,global__p75_media_provas,global_mean_matem,global_std_matem,global__p25_matem,global__p75_matem,global_mean_portug,global_std_portug,global__p25_portug,global__p75_portug,global_mean_ieg,global_std_ieg,global__p25_ieg,global__p75_ieg,global_mean_ips,global_std_ips,global__p25_ips,global__p75_ips,global_mean_iaa,global_std_iaa,global__p25_iaa,global__p75_iaa,delta_turma_media_provas,z_turma_media_provas,delta_fase_media_provas,z_fase_media_provas,delta_turma_matem,z_turma_matem,delta_fase_matem,z_fase_matem,delta_turma_portug,z_turma_portug,delta_fase_portug,z_fase_portug,delta_turma_ieg,z_turma_ieg,delta_fase_ieg,z_fase_ieg,delta_turma_ips,z_turma_ips,delta_fase_ips,z_fase_ips,delta_turma_iaa,z_turma_iaa,delta_fase_iaa,z_fase_iaa,abaixo_p25_turma_media_provas,abaixo_p25_turma_matem,abaixo_p25_turma_ieg
RA-1,2022,7,A,95.80235281650428,1,train,2022->2023,F,Escola Pública,2016,6,2003.0,19.0,-1,0,0,0,2.7,3.5,6.0,1,4.066666666666666,1.4055445761538676,4.1,8.3,5.6,7,6.2528985507246375,1.938566186765808,4.8,7.633333333333333,6.059420289855073,2.3958492808691227,4.5,8.0,5.966666666666667,1.936770102870382,4.5,7.3,7.9449275362318845,1.607659628144558,7.4,9.0,7.243478260869566,1.2833181097623418,6.3,8.1,7.785507246376812,2.6542017389923944,7.9,9.2,5.16060606060606,2.1274172229264385,3.875,7.2333333333333325,5.790909090909091,2.4933730348483945,3.1,7.5,4.045454545454546,2.7645482945188844,2.0,5.6,7.2,2.3004347415216975,4.85,8.899999999999999,6.990909090909091,0.7854356058322612,6.6,7.5,6.818181818181818,3.4149138149646423,7.9,8.55,6.458277777777778,1.8921299670361091,5.2,7.854166666666666,6.1575,2.3307146546361177,4.7,8.0,6.66,1.9048922167046878,5.7,8.0,8.300833333333333,1.3658422972133284,7.7,9.225,6.903333333333333,1.0841807823591747,5.6,7.5,8.443,1.8234104610635136,8.0,9.5,-2.186231884057971,-1.127757153190294,-1.0939393939393938,-0.5142100863668808,-3.3594202898550725,-1.4021834831932345,-3.090909090909091,-1.239649682461986,-2.466666666666667,-1.2735980708350225,-0.5454545454545459,-0.1973033158928669,-3.844927536231885,-2.3916303357504947,-3.1000000000000005,-1.3475713716396949,-1.643478260869566,-1.2806476027786458,-1.3909090909090915,-1.7708760343698196,0.5144927536231885,0.1938408622317095,1.4818181818181824,0.43392549918087026,1,1,1
RA-2,2022,7,A,3.876507747698211,0,train,2022->2023,F,Rede Decisão,2017,5,2005.0,17.0,0,1,0,0,6.3,4.5,9.7,1,6.833333333333333,2.15612821717283,5.2,8.8,6.3,7,6.2528985507246375,1.938566186765808,4.8,7.633333333333333,6.059420289855073,2.3958492808691227,4.5,8.0,5.966666666666667,1.936770102870382,4.5,7.3,7.9449275362318845,1.607659628144558,7.4,9.0,7.243478260869566,1.2833181097623418,6.3,8.1,7.785507246376812,2.6542017389923944,7.9,9.2,5.16060606060606,2.1274172229264385,3.875,7.2333333333333325,5.790909090909091,2.4933730348483945,3.1,7.5,4.045454545454546,2.7645482945188844,2.0,5.6,7.2,2.3004347415216975,4.85,8.899999999999999,6.990909090909091,0.7854356058322612,6.6,7.5,6.818181818181818,3.4149138149646423,7.9,8.55,6.458277777777778,1.8921299670361091,5.2,7.854166666666666,6.1575,2.3307146546361177,4.7,8.0,6.66,1.9048922167046878,5.7,8.0,8.300833333333333,1.3658422972133284,7.7,9.225,6.903333333333333,1.0841807823591747,5.6,7.5,8.443,1.8234104610635136,8.0,9.5,0.5804347826086955,0.2994144778605983,1.6727272727272728,0.7862713785997737,0.24057971014492718,0.10041521061694417,0.5090909090909088,0.20417759475844466,-1.4666666666666668,-0.757274528604608,0.45454545454545414,0.16441942991072214,-2.7449275362318843,-1.7074059012104925,-2.0,-0.8694008849288352,-0.9434782608695658,-0.7351865867803338,-0.6909090909090914,-0.879650840602002,1.0144927536231885,0.3822214184850609,1.9818181818181824,0.5803420786590779,0,0,1
RA-5,2022,7,A,5.964096161489895,0,train,2022->2023,F,Rede Decisão,2016,6,2005.0,17.0,0,1,0,0,7.0,2.9,5.7,1,5.2,1.710750322714179,8.6,7.9,5.6,7,6.2528985507246375,1.938566186765808,4.8,7.633333333333333,6.059420289855073,2.3958492808691227,4.5,8.0,5.966666666666667,1.936770102870382,4.5,7.3,7.9449275362318845,1.607659628144558,7.4,9.0,7.243478260869566,1.2833181097623418,6.3,8.1,7.785507246376812,2.6542017389923944,7.9,9.2,5.16060606060606,2.1274172229264385,3.875,7.2333333333333325,5.790909090909091,2.4933730348483945,3.1,7.5,4.045454545454546,2.7645482945188844,2.0,5.6,7.2,2.3004347415216975,4.85,8.899999999999999,6.990909090909091,0.7854356058322612,6.6,7.5,6.818181818181818,3.4149138149646423,7.9,8.55,6.458277777777778,1.8921299670361091,5.2,7.854166666666666,6.1575,2.3307146546361177,4.7,8.0,6.66,1.9048922167046878,5.7,8.0,8.300833333333333,1.3658422972133284,7.7,9.225,6.903333333333333,1.0841807823591747,5.6,7.5,8.443,1.8234104610635136,8.0,9.5,-1.0528985507246373,-0.5431326296272776,0.03939393939393998,0.018517260727893496,0.9405797101449274,0.39258717885781236,1.209090909090909,0.4849217875513063,-3.066666666666667,-1.5833921961732713,-1.145454545454546,-0.41433696337502035,0.6550724637681151,0.40746962373133133,1.3999999999999995,0.6085806194501844,-1.643478260869566,-1.2806476027786458,-1.3909090909090915,-1.7708760343698196,0.11449275362318811,0.043136417229028196,1.081818181818182,0.316792235598304,0,0,0
RA-6,2022,7,A,96.56874745902182,1,train,2022->2023,F,Escola Pública,2021,1,2004.0,18.0,-1,0,0,0,2.3,5.3,2.3,1,3.2999999999999994,1.4142135623730951,4.5,7.9,7.5,7,6.2528985507246375,1.938566186765808,4.8,7.633333333333333,6.059420289855073,2.3958492808691227,4.5,8.0,5.966666666666667,1.936770102870382,4.5,7.3,7.9449275362318845,1.607659628144558,7.4,9.0,7.243478260869566,1.2833181097623418,6.3,8.1,7.785507246376812,2.6542017389923944,7.9,9.2,5.16060606060606,2.1274172229264385,3.875,7.2333333333333325,5.790909090909091,2.4933730348483945,3.1,7.5,4.045454545454546,2.7645482945188844,2.0,5.6,7.2,2.3004347415216975,4.85,8.899999999999999,6.990909090909091,0.7854356058322612,6.6,7.5,6.818181818181818,3.4149138149646423,7.9,8.55,6.458277777777778,1.8921299670361091,5.2,7.854166666666666,6.1575,2.3307146546361177,4.7,8.0,6.66,1.9048922167046878,5.7,8.0,8.300833333333333,1.3658422972133284,7.7,9.225,6.903333333333333,1.0841807823591747,5.6,7.5,8.443,1.8234104610635136,8.0,9.5,-2.952898550724638,-1.523238448541746,-1.8606060606060608,-0.8745844682251106,-3.759420289855073,-1.5691388936165878,-3.490909090909091,-1.4000749354864785,-0.666666666666667,-0.3442156948202765,1.254545454545454,0.4537976265535933,-3.4449275362318845,-2.142821450463221,-2.7,-1.1736911946539275,0.2565217391304344,0.19988944064534378,0.5090909090909088,0.648163777285685,0.11449275362318811,0.043136417229028196,1.081818181818182,0.316792235598304,1,1,1
RA-7,2022,7,A,96.13519375700218,1,train,2022->2023,M,Rede Decisão,2017,5,2004.0,18.0,-1,0,0,0,8.2,5.7,9.0,1,7.633333333333333,1.4055445761538676,8.4,0.0,7.5,7,6.2528985507246375,1.938566186765808,4.8,7.633333333333333,6.059420289855073,2.3958492808691227,4.5,8.0,5.966666666666667,1.936770102870382,4.5,7.3,7.9449275362318845,1.607659628144558,7.4,9.0,7.243478260869566,1.2833181097623418,6.3,8.1,7.785507246376812,2.6542017389923944,7.9,9.2,5.16060606060606,2.1274172229264385,3.875,7.2333333333333325,5.790909090909091,2.4933730348483945,3.1,7.5,4.045454545454546,2.7645482945188844,2.0,5.6,7.2,2.3004347415216975,4.85,8.899999999999999,6.990909090909091,0.7854356058322612,6.6,7.5,6.818181818181818,3.4149138149646423,7.9,8.55,6.458277777777778,1.8921299670361091,5.2,7.854166666666666,6.1575,2.3307146546361177,4.7,8.0,6.66,1.9048922167046878,5.7,8.0,8.300833333333333,1.3658422972133284,7.7,9.225,6.903333333333333,1.0841807823591747,5.6,7.5,8.443,1.8234104610635136,8.0,9.5,1.3804347826086953,0.7120906121403743,2.4727272727272727,1.1623142118431435,2.1405797101449267,0.8934534101278716,2.4090909090909083,0.966197546624783,-0.2666666666666666,-0.1376862779281105,1.6545454545454543,0.5984867248750291,0.45507246376811583,0.2830651810876951,1.2000000000000002,0.5216405309573012,0.2565217391304344,0.19988944064534378,0.5090909090909088,0.648163777285685,-7.785507246376812,-2.9332763715739247,-6.818181818181818,-1.9965897201573777,0,0,0
RA-12,2022,7,A,4.11873716012707,0,train,2022->2023,F,Escola Pública,2020,2,2005.0,17.0,0,1,0,0,2.7,1.1,0.7,1,1.5,0.8640987597877147,4.0,0.0,6.9,7,6.2528985507246375,1.938566186765808,4.8,7.633333333333333,6.059420289855073,2.3958492808691227,4.5,8.0,5.966666666666667,1.936770102870382,4.5,7.3,7.9449275362318845,1.607659628144558,7.4,9.0,7.243478260869566,1.2833181097623418,6.3,8.1,7.785507246376812,2.6542017389923944,7.9,9.2,5.16060606060606,2.1274172229264385,3.875,7.2333333333333325,5.790909090909091,2.4933730348483945,3.1,7.5,4.045454545454546,2.7645482945188844,2.0,5.6,7.2,2.3004347415216975,4.85,8.899999999999999,6.990909090909091,0.7854356058322612,6.6,7.5,6.818181818181818,3.4149138149646423,7.9,8.55,6.458277777777778,1.8921299670361091,5.2,7.854166666666666,6.1575,2.3307146546361177,4.7,8.0,6.66,1.9048922167046878,5.7,8.0,8.300833333333333,1.3658422972133284,7.7,9.225,6.903333333333333,1.0841807823591747,5.6,7.5,8.443,1.8234104610635136,8.0,9.5,-4.7528985507246375,-2.451759750671242,-3.66060606060606,-1.7206808430226928,-3.3594202898550725,-1.4021834831932345,-3.090909090909091,-1.239649682461986,-4.866666666666667,-2.5127745721880177,-2.9454545454545458,-1.0654379058214805,-3.9449275362318845,-2.453832557072313,-3.2,-1.3910414158861364,-0.34347826086956523,-0.2676485730674946,-0.09090909090909083,-0.11574353165815798,-7.785507246376812,-2.9332763715739247,-6.818181818181818,-1.9965897201573777,1,1,1
RA-13,2022,7,A,95.97418295379852,1,train,2022->2023,M,Escola Pública,2016,6,2004.0,18.0,-1,0,0,0,3.5,5.5,5.2,1,4.733333333333333,0.8806563209081938,7.4,7.9,7.5,7,6.2528985507246375,1.938566186765808,4.8,7.633333333333333,6.059420289855073,2.3958492808691227,4.5,8.0,5.966666666666667,1.936770102870382,4.5,7.3,7.9449275362318845,1.607659628144558,7.4,9.0,7.243478260869566,1.2833181097623418,6.3,8.1,7.785507246376812,2.6542017389923944,7.9,9.2,5.16060606060606,2.1274172229264385,3.875,7.2333333333333325,5.790909090909091,2.4933730348483945,3.1,7.5,4.045454545454546,2.7645482945188844,2.0,5.6,7.2,2.3004347415216975,4.85,8.899999999999999,6.990909090909091,0.7854356058322612,6.6,7.5,6.818181818181818,3.4149138149646423,7.9,8.55,6.458277777777778,1.8921299670361091,5.2,7.854166666666666,6.1575,2.3307146546361177,4.7,8.0,6.66,1.9048922167046878,5.7,8.0,8.300833333333333,1.3658422972133284,7.7,9.225,6.903333333333333,1.0841807823591747,5.6,7.5,8.443,1.8234104610635136,8.0,9.5,-1.5195652173913041,-0.7838603746238136,-0.4272727272727268,-0.2008410586640724,-2.5594202898550726,-1.0682726623465282,-2.290909090909091,-0.9187991764130016,-0.4666666666666668,-0.24095098637419352,1.4545454545454541,0.5261421757143112,-0.5449275362318842,-0.3389570321304885,0.20000000000000018,0.0869400884928836,0.2565217391304344,0.19988944064534378,0.5090909090909088,0.648163777285685,0.11449275362318811,0.043136417229028196,1.081818181818182,0.316792235598304,1,1,0
RA-14,2022,7,D,96.10567320297488,1,train,2022->2023,M,Escola Pública,2022,0,2001.0,21.0,-1,0,0,0,8.0,0.0,7.2,0,4.0,4.0,8.3,7.9,7.5,7,6.660606060606061,1.570169058162885,5.2,7.8,6.793939393939394,1.6588662155858502,5.3,8.0,6.587878787878788,2.210734829157148,6.3,8.0,8.86060606060606,1.0553255996194353,8.5,9.6,7.212121212121212,0.9239039370240204,7.5,7.5,7.818181818181818,2.700399802049521,7.5,9.5,5.16060606060606,2.1274172229264385,3.875,7.2333333333333325,5.790909090909091,2.4933730348483945,3.1,7.5,4.045454545454546,2.7645482945188844,2.0,5.6,7.2,2.3004347415216975,4.85,8.899999999999999,6.990909090909091,0.7854356058322612,6.6,7.5,6.818181818181818,3.4149138149646423,7.9,8.55,6.458277777777778,1.8921299670361091,5.2,7.854166666666666,6.1575,2.3307146546361177,4.7,8.0,6.66,1.9048922167046878,5.7,8.0,8.300833333333333,1.3658422972133284,7.7,9.225,6.903333333333333,1.0841807823591747,5.6,7.5,8.443,1.8234104610635136,8.0,9.5,-2.660606060606061,-1.694471080533837,-1.1606060606060602,-0.5455469891371616,1.206060606060606,0.7270391034123689,2.209090909090909,0.8859849201125372,-6.587878787878788,-2.9799497890891082,-4.045454545454546,-1.4633329262054284,-0.5606060606060588,-0.5312162055087273,1.1000000000000005,0.4781704867108596,0.28787878787878807,0.3115895239131377,0.5090909090909088,0.648163777285685,0.08181818181818201,0.03029854385120474,1.081818181818182,0.316792235598304,1,0,1
RA-17,2022,7,D,95.62866862656986,1,train,2022->2023,M,Escola Pública,2022,0,2002.0,20.0,-1,0,0,0,9.0,6.5,7.2,0,7.75,1.25,10.0,8.8,7.5,7,6.660606060606061,1.570169058162885,5.2,7.8,6.793939393939394,1.6588662155858502,5.3,8.0,6.587878787878788,2.210734829157148,6.3,8.0,8.86060606060606,1.0553255996194353,8.5,9.6,7.212121212121212,0.9239039370240204,7.5,7.5,7.818181818181818,2.700399802049521,7.5,9.5,5.16060606060606,2.1274172229264385,3.875,7.2333333333333325,5.790909090909091,2.4933730348483945,3.1,7.5,4.045454545454546,2.7645482945188844,2.0,5.6,7.2,2.3004347415216975,4.85,8.899999999999999,6.990909090909091,0.7854356058322612,6.6,7.5,6.818181818181818,3.4149138149646423,7.9,8.55,6.458277777777778,1.8921299670361091,5.2,7.854166666666666,6.1575,2.3307146546361177,4.7,8.0,6.66,1.9048922167046878,5.7,8.0,8.300833333333333,1.3658422972133284,7.7,9.225,6.903333333333333,1.0841807823591747,5.6,7.5,8.443,1.8234104610635136,8.0,9.5,1.089393939393939,0.6938067806969408,2.58939393939394,1.2171537916911352,2.206060606060606,1.3298604705633281,3.209090909090909,1.287048052673768,-0.08787878787878789,-0.03975094014884275,2.454545454545454,0.8878649215179002,1.1393939393939405,1.079661044709634,2.8,1.2171612389003692,0.28787878787878807,0.3115895239131377,0.5090909090909088,0.648163777285685,0.9818181818181824,0.36358252621445625,1.9818181818181824,0.5803420786590779,0,0,0
RA-19,2022,7,D,17.589208952640593,0,train,2022->2023,F,Escola Pública,2022,0,2003.0,19.0,-1,0,0,0,7.0,9.0,7.2,0,8.0,1.0,9.5,7.9,7.5,7,6.660606060606061,1.570169058162885,5.2,7.8,6.793939393939394,1.6588662155858502,5.3,8.0,6.587878787878788,2.210734829157148,6.3,8.0,8.86060606060606,1.0553255996194353,8.5,9.6,7.212121212121212,0.9239039370240204,7.5,7.5,7.818181818181818,2.700399802049521,7.5,9.5,5.16060606060606,2.1274172229264385,3.875,7.2333333333333325,5.790909090909091,2.4933730348483945,3.1,7.5,4.045454545454546,2.7645482945188844,2.0,5.6,7.2,2.3004347415216975,4.85,8.899999999999999,6.990909090909091,0.7854356058322612,6.6,7.5,6.818181818181818,3.4149138149646423,7.9,8.55,6.458277777777778,1.8921299670361091,5.2,7.854166666666666,6.1575,2.3307146546361177,4.7,8.0,6.66,1.9048922167046878,5.7,8.0,8.300833333333333,1.3658422972133284,7.7,9.225,6.903333333333333,1.0841807823591747,5.6,7.5,8.443,1.8234104610635136,8.0,9.5,1.339393939393939,0.8530253047789926,2.83939393939394,1.3346671770796883,0.20606060606060606,0.12421773626140976,1.209090909090909,0.4849217875513063,2.412121212121212,1.0910947709820285,4.954545454545454,1.7921717860268729,0.6393939393939405,0.6058736181748218,2.3,0.9998110176681604,0.28787878787878807,0.3115895239131377,0.5090909090909088,0.648163777285685,0.08181818181818201,0.03029854385120474,1.081818181818182,0.316792235598304,0,0,0
