iter	Passed	Remaining
0	2	6918
1	6	7722
2	7	6608
3	10	6651
4	13	6763
5	16	6892
6	19	7100
7	22	7122
8	25	6938
9	28	7105
10	31	7186
11	34	7216
12	37	7250
13	40	7258
14	43	7219
15	47	7310
16	50	7305
17	54	7473
18	57	7529
19	60	7562
20	64	7607
21	68	7671
22	71	7712
23	74	7729
24	77	7700
25	81	7756
26	84	7719
27	87	7712
28	89	7612
29	92	7600
30	95	7566
31	97	7540
32	100	7520
33	101	7395
34	104	7368
35	107	7345
36	110	7328
37	112	7301
38	115	7281
39	118	7268
40	121	7295
41	124	7287
42	127	7278
43	130	7274
44	133	7263
45	135	7252
46	139	7256
47	142	7275
48	144	7248
49	149	7310
50	152	7315
51	155	7327
52	159	7375
53	163	7392
54	166	7400
55	169	7406
56	173	7423
57	175	7394
58	179	7420
59	182	7427
60	186	7444
61	189	7439
62	192	7435
63	195	7433
64	198	7429
65	201	7444
66	205	7457
67	208	7466
68	212	7471
69	215	7473
70	218	7470
71	221	7476
72	224	7477
73	228	7484
74	231	7482
75	234	7469
76	236	7455
77	239	7450
78	242	7439
79	245	7426
80	248	7428
81	251	7424
82	255	7428
83	258	7427
84	261	7423
85	264	7419
86	267	7410
87	269	7398
88	271	7362
89	274	7348
90	277	7340
91	280	7336
92	283	7325
93	285	7317
94	288	7307
95	291	7307
96	294	7302
97	297	7299
98	301	7301
99	304	7309
100	307	7301
101	310	7297
102	314	7309
103	317	7315
104	319	7296
105	322	7286
106	325	7286
107	328	7282
108	332	7290
109	336	7300
110	337	7270
111	340	7260
112	343	7253
113	348	7300
114	352	7309
115	356	7321
116	359	7328
117	362	7325
118	365	7310
119	367	7287
120	370	7289
121	374	7304
122	377	7290
123	380	7287
124	383	7291
125	387	7292
126	390	7287
127	392	7280
128	395	7269
129	398	7264
130	401	7254
131	403	7246
132	407	7247
133	410	7246
134	412	7228
135	415	7230
136	419	7238
137	423	7242
138	426	7245
139	429	7238
140	432	7235
141	436	7241
142	439	7238
143	442	7235
144	446	7257
145	449	7254
146	453	7251
147	455	7241
148	459	7243
149	462	7249
150	466	7250
151	469	7245
152	472	7242
153	475	7241
154	478	7238
155	481	7237
156	484	7232
157	488	7237
158	491	7234
159	494	7230
160	497	7226
161	500	7226
162	504	7226
163	507	7221
164	510	7219
165	513	7219
166	516	7220
167	520	7224
168	523	7222
169	526	7217
170	529	7215
171	532	7212
172	536	7211
173	538	7204
174	542	7201
175	545	7203
176	548	7199
177	551	7195
178	554	7189
179	557	7189
180	561	7189
