fase,n,feature,mean_abs_shap,mean_shap,direction,% vezes ↑ risco
0,174,defasagem_t,0.366358,-0.077414,↓ risco,53.4
0,174,defasagem_t_is0,0.169664,-0.050691,↓ risco,53.4
0,174,turma_mean_iaa,0.083437,0.083437,↑ risco,100.0
0,174,genero,0.081319,0.001698,↑ risco,51.7
0,174,fase__p25_ieg,0.066488,0.066488,↑ risco,100.0
0,174,delta_turma_iaa,0.064149,-0.064149,↓ risco,0.0
0,174,delta_fase_media_provas,0.063407,-0.063407,↓ risco,0.0
0,174,delta_fase_ips,0.059631,0.059631,↑ risco,100.0
0,174,turma__p75_ieg,0.057685,-0.057685,↓ risco,0.0
0,174,turma__p75_media_provas,0.055722,0.055722,↑ risco,100.0
0,174,delta_turma_ieg,0.055677,-0.055677,↓ risco,0.0
0,174,ano_nasc,0.051245,-0.004191,↓ risco,13.8
0,174,instituicao,0.047889,0.021819,↑ risco,62.6
0,174,fase_std_ips,0.046899,0.046899,↑ risco,100.0
0,174,ieg,0.043878,0.034657,↑ risco,85.1
1,138,defasagem_t,0.1745,-0.054026,↓ risco,76.1
1,138,defasagem_t_is0,0.133647,0.026121,↑ risco,76.8
1,138,ano_nasc,0.10308,0.062457,↑ risco,35.5
1,138,turma_mean_iaa,0.091701,0.091701,↑ risco,100.0
1,138,genero,0.091552,-0.015914,↓ risco,42.8
1,138,delta_fase_media_provas,0.072897,-0.072897,↓ risco,0.0
1,138,turma__p75_ieg,0.067736,-0.067736,↓ risco,0.0
1,138,fase__p25_ieg,0.066325,0.066325,↑ risco,100.0
1,138,delta_turma_iaa,0.061673,-0.061673,↓ risco,0.0
1,138,delta_turma_ieg,0.059502,-0.059502,↓ risco,0.0
1,138,delta_fase_matem,0.055826,-0.055135,↓ risco,5.1
1,138,delta_fase_ips,0.0545,0.0545,↑ risco,100.0
1,138,fase_std_iaa,0.053196,-0.053196,↓ risco,0.0
1,138,fase_std_ips,0.050549,0.050549,↑ risco,100.0
1,138,fase,0.04705,0.04705,↑ risco,100.0
2,153,defasagem_t,0.242343,-0.164114,↓ risco,46.4
2,153,ano_nasc,0.216594,0.18813,↑ risco,58.2
2,153,defasagem_t_is0,0.155264,-0.043584,↓ risco,57.5
2,153,turma_mean_iaa,0.096414,0.096414,↑ risco,100.0
2,153,genero,0.089512,0.002417,↑ risco,51.6
2,153,turma__p75_ieg,0.079744,-0.079744,↓ risco,0.0
2,153,fase__p25_ieg,0.069936,0.069936,↑ risco,100.0
2,153,delta_fase_media_provas,0.069564,-0.069564,↓ risco,0.0
2,153,delta_fase_matem,0.064082,-0.063925,↓ risco,1.3
